timestamp	to_transcript	from_name	chars
2026-08-31T23:33:30.533Z	00069859-46f6-4e22-ab7f-0091fea1e81c	optimize-adversarial-review-tokens	3243
2026-08-31T23:40:37.375Z	00069859-46f6-4e22-ab7f-0091fea1e81c	optimize-adversarial-review-tokens	4176
2026-08-31T23:48:10.888Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2940
2026-09-01T00:04:49.811Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3954
2026-09-01T07:39:37.259Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2805
2026-09-01T11:33:10.754Z	00069859-46f6-4e22-ab7f-0091fea1e81c	pinakes-development-overview	3710
2026-09-01T11:37:39.542Z	00069859-46f6-4e22-ab7f-0091fea1e81c	pinakes-development-overview	3737
2026-09-01T11:45:59.302Z	00069859-46f6-4e22-ab7f-0091fea1e81c	?	18414
2026-09-01T12:27:21.223Z	00069859-46f6-4e22-ab7f-0091fea1e81c	?	16360
2026-09-01T18:23:22.330Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2266
2026-09-01T18:56:01.632Z	00069859-46f6-4e22-ab7f-0091fea1e81c	?	15683
2026-09-01T20:34:34.092Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	5631
2026-09-01T20:37:27.709Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3596
2026-09-01T20:57:02.059Z	00069859-46f6-4e22-ab7f-0091fea1e81c	?	14084
2026-09-01T23:57:37.661Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	4748
2026-09-02T01:53:52.024Z	00069859-46f6-4e22-ab7f-0091fea1e81c	?	14588
2026-09-02T02:03:30.867Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	4933
2026-09-02T02:20:59.455Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2056
2026-09-02T02:39:35.092Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2670
2026-09-02T02:48:49.899Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3935
2026-09-02T08:05:25.340Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3233
2026-09-02T08:11:31.167Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	1913
2026-09-02T08:17:37.264Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3006
2026-09-02T08:23:05.513Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3393
2026-09-02T08:58:02.923Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2509
2026-09-02T09:01:52.299Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2363
2026-09-02T09:34:11.486Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	9475
2026-09-02T11:04:13.599Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3356
2026-09-02T11:09:28.264Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3562
2026-09-02T11:11:25.817Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	3063
2026-09-02T11:14:17.638Z	00069859-46f6-4e22-ab7f-0091fea1e81c	planner	2746
2026-08-22T07:18:38.705Z	00d3d772-9d05-48ee-a820-722cddb47997	code-review-mutation-tests	3588
2026-08-22T07:19:52.812Z	00d3d772-9d05-48ee-a820-722cddb47997	code-review-mutation-tests	3163
2026-08-22T07:31:36.702Z	00d3d772-9d05-48ee-a820-722cddb47997	code-review-mutation-tests	3084
2026-08-22T07:35:33.459Z	00d3d772-9d05-48ee-a820-722cddb47997	code-review-mutation-tests	2387
2026-08-24T03:04:29.118Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-d1	5198
2026-08-24T03:07:52.437Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-d1	3769
2026-08-25T00:23:42.723Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-7c	4777
2026-08-25T00:35:41.472Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-7c	6087
2026-08-25T00:40:08.108Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-7c	5049
2026-08-25T00:55:51.660Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-7c	4939
2026-08-25T01:01:18.296Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-7c	3139
2026-08-25T01:07:26.912Z	1119f961-d8e4-4b3c-bf5d-27616983cf07	pinakes-7c	3863
2026-08-30T14:52:57.767Z	12cd961c-4347-4a5e-ab32-7d2d91e98531	optimize-adversarial-review-tokens	4037
2026-08-30T14:56:41.371Z	12cd961c-4347-4a5e-ab32-7d2d91e98531	optimize-adversarial-review-tokens	2750
2026-08-30T15:22:14.459Z	12cd961c-4347-4a5e-ab32-7d2d91e98531	planner	3662
2026-08-31T21:08:38.061Z	12cd961c-4347-4a5e-ab32-7d2d91e98531	planner	2628
2026-08-31T21:12:37.282Z	12cd961c-4347-4a5e-ab32-7d2d91e98531	planner	3297
2026-08-31T21:16:33.867Z	12cd961c-4347-4a5e-ab32-7d2d91e98531	optimize-adversarial-review-tokens	3704
2026-08-26T07:17:30.393Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	planner	3860
2026-08-26T11:41:20.346Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	planner	3510
2026-08-26T11:45:28.177Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	optimize-adversarial-review-tokens	2996
2026-08-26T11:46:57.942Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	optimize-adversarial-review-tokens	3262
2026-08-30T09:09:12.146Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	planner	3333
2026-08-30T09:30:14.160Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	optimize-adversarial-review-tokens	2042
2026-08-30T09:34:50.289Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	optimize-adversarial-review-tokens	3253
2026-08-30T09:47:50.359Z	1d4fa659-1d44-44b0-b322-05cacc17bcfc	planner	4635
2026-08-25T23:02:41.148Z	1f0667a9-58d3-4bd5-8180-ec3dcf84f771	optimize-adversarial-review-tokens	1663
2026-08-25T23:06:58.158Z	1f0667a9-58d3-4bd5-8180-ec3dcf84f771	optimize-adversarial-review-tokens	2390
2026-08-25T23:13:43.371Z	1f0667a9-58d3-4bd5-8180-ec3dcf84f771	planner	5795
2026-08-26T03:58:55.093Z	1f0667a9-58d3-4bd5-8180-ec3dcf84f771	planner	4941
2026-08-26T04:15:26.839Z	1f0667a9-58d3-4bd5-8180-ec3dcf84f771	planner	5291
2026-08-26T04:45:15.908Z	1f0667a9-58d3-4bd5-8180-ec3dcf84f771	planner	4400
2026-08-26T05:34:27.123Z	1f0667a9-58d3-4bd5-8180-ec3dcf84f771	planner	3426
2026-08-23T14:24:17.275Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	5273
2026-08-23T14:51:26.608Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	4450
2026-08-23T15:09:19.130Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	3509
2026-08-23T16:07:55.678Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	4617
2026-08-23T16:15:19.498Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	4482
2026-08-23T19:40:59.716Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	5051
2026-08-24T00:24:57.916Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	4029
2026-08-24T00:34:35.470Z	2191977c-ae94-4a94-989a-b26713bfbadc	pinakes-6d	3447
2026-08-24T00:25:42.480Z	2264ef7c-48f5-4507-af17-acfbad097a0f	planner-queue-review	3797
2026-08-24T00:33:48.439Z	2264ef7c-48f5-4507-af17-acfbad097a0f	planner-queue-review	3974
2026-09-01T07:16:38.625Z	30c6edb4-0990-42fe-ae25-f4e9f05c4452	optimize-adversarial-review-tokens	3372
2026-09-01T11:21:16.305Z	30c6edb4-0990-42fe-ae25-f4e9f05c4452	?	20916
